Gender,Age,Waist,TotalHeight,source
2.0,13.0,25.0,54.0,Mendeley
1.0,8.0,21.0,26.0,Mendeley
1.0,8.0,22.0,47.0,Mendeley
2.0,9.0,12.0,46.0,Mendeley
1.0,8.0,27.0,44.0,Mendeley
2.0,13.0,25.0,54.0,Mendeley
1.0,11.0,23.0,53.0,Mendeley
2.0,11.0,23.0,52.0,Mendeley
2.0,8.0,23.0,49.0,Mendeley
2.0,11.0,24.0,38.0,Mendeley
2.0,10.0,22.0,46.0,Mendeley
2.0,8.0,21.0,49.0,Mendeley
2.0,8.0,23.0,48.0,Mendeley
2.0,4.0,20.0,38.0,Mendeley
2.0,9.0,24.0,47.0,Mendeley
1.0,4.0,20.0,38.0,Mendeley
1.0,11.0,25.0,53.0,Mendeley
1.0,2.0,25.0,44.0,Mendeley
2.0,10.0,27.0,47.0,Mendeley
1.0,11.0,20.0,38.0,Mendeley
1.0,13.0,20.0,49.0,Mendeley
1.0,9.0,23.0,46.0,Mendeley
2.0,10.0,23.0,47.0,Mendeley
2.0,13.0,21.0,54.0,Mendeley
2.0,12.0,22.0,56.0,Mendeley
1.0,9.0,22.0,46.0,Mendeley
1.0,11.0,25.0,38.0,Mendeley
2.0,9.0,23.0,38.0,Mendeley
1.0,8.0,24.0,47.0,Mendeley
2.0,6.0,18.0,29.0,Mendeley
1.0,11.0,16.0,29.0,Mendeley
2.0,12.0,26.0,47.0,Mendeley
2.0,11.0,22.0,54.0,Mendeley
1.0,8.0,21.0,44.0,Mendeley
2.0,7.0,25.0,44.0,Mendeley
1.0,8.0,12.0,44.0,Mendeley
1.0,6.0,23.0,37.0,Mendeley
1.0,5.0,21.0,41.0,Mendeley
2.0,4.0,22.0,39.0,Mendeley
2.0,5.0,21.0,30.0,Mendeley
2.0,6.0,21.0,32.0,Mendeley
1.0,6.0,22.0,32.0,Mendeley
2.0,7.0,22.0,30.0,Mendeley
2.0,6.0,22.0,44.0,Mendeley
1.0,4.0,20.0,37.0,Mendeley
2.0,12.0,29.0,55.0,Mendeley
2.0,5.0,22.0,44.0,Mendeley
2.0,13.0,20.0,57.0,Mendeley
2.0,14.0,24.0,57.0,Mendeley
1.0,11.0,24.0,52.0,Mendeley
2.0,12.0,20.0,53.0,Mendeley
2.0,9.0,24.0,48.0,Mendeley
2.0,5.0,22.0,32.0,Mendeley
2.0,12.0,25.0,58.0,Mendeley
1.0,7.0,24.0,46.0,Mendeley
1.0,6.0,24.0,45.0,Mendeley
2.0,13.0,27.0,59.0,Mendeley
2.0,11.0,24.0,49.0,Mendeley
